Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
F1LQI4	unreviewed	F1LQI4_RAT	Aggrecan core protein (Cartilage-specific proteoglycan core protein)	Acan	Rattus norvegicus (Rat)	2124
F1LQM1	unreviewed	F1LQM1_RAT	Alpha-2u-globulin (L type)	Mup4l1 LOC120102889 Mup4l2 Mup4l3 Mup5 RGD1566134	Rattus norvegicus (Rat)	181
F1LQZ2	unreviewed	F1LQZ2_RAT	Chordin-like 1	Chrdl1	Rattus norvegicus (Rat)	521
F1LRA5	unreviewed	F1LRA5_RAT	Proteoglycan 4	Prg4	Rattus norvegicus (Rat)	1061
F1LRM7	unreviewed	F1LRM7_RAT	Collagen type II alpha 1 chain	Col2a1	Rattus norvegicus (Rat)	1419
F1LRY8	unreviewed	F1LRY8_RAT	Neurexophilin	Nxph1	Rattus norvegicus (Rat)	253
F1LS74	unreviewed	F1LS74_RAT	Slit homolog 1 protein	Slit1	Rattus norvegicus (Rat)	1530
F1LSF4	unreviewed	F1LSF4_RAT	Ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	Rattus norvegicus (Rat)	839
F1LSR6	unreviewed	F1LSR6_RAT	Peptide YY (Peptide tyrosine tyrosine)	Pyy	Rattus norvegicus (Rat)	98
F1LSR7	unreviewed	F1LSR7_RAT	Spermatogenesis-associated protein 20	Spata20	Rattus norvegicus (Rat)	789
F1LSU5	unreviewed	F1LSU5_RAT	Defensin alpha 10	Defa31 Defa10	Rattus norvegicus (Rat)	90
F1LTN0	unreviewed	F1LTN0_RAT	Interleukin 17C	Il17c	Rattus norvegicus (Rat)	203
F1LUN5	unreviewed	F1LUN5_RAT	Collagen type IV alpha 5 chain	Col4a5	Rattus norvegicus (Rat)	1598
F1LV96	unreviewed	F1LV96_RAT	Signal peptide, CUB domain and EGF like domain containing 3	Scube3	Rattus norvegicus (Rat)	994
F1LVL8	unreviewed	F1LVL8_RAT	Interferon, epsilon	Ifne	Rattus norvegicus (Rat)	183
F1LW58	unreviewed	F1LW58_RAT	Chordin-like 2	Chrdl2	Rattus norvegicus (Rat)	429
F1LWA1	unreviewed	F1LWA1_RAT	ADAMTS-like 1	Adamtsl1	Rattus norvegicus (Rat)	1810
F1LWT9	unreviewed	F1LWT9_RAT	Neurexophilin	Nxph2	Rattus norvegicus (Rat)	261
F1LXD8	unreviewed	F1LXD8_RAT	Elastin microfibril interfacer 2	Emilin2	Rattus norvegicus (Rat)	1075
F1LXS3	unreviewed	F1LXS3_RAT	Matrilin 2	Matn2	Rattus norvegicus (Rat)	954
F1LY16	unreviewed	F1LY16_RAT	Otogelin-like	Otogl	Rattus norvegicus (Rat)	2327
F1M4Q9	unreviewed	F1M4Q9_RAT	Netrin 4	Ntn4	Rattus norvegicus (Rat)	630
F1M661	unreviewed	F1M661_RAT	BMP-binding endothelial regulator	Bmper	Rattus norvegicus (Rat)	685
F1M6X1	unreviewed	F1M6X1_RAT	Vascular permeability factor	Vegfa	Rattus norvegicus (Rat)	465
F1M6Y6	unreviewed	F1M6Y6_RAT	Major urinary protein 4, pseudogene 3	Mup4-ps3 Mup4-ps2	Rattus norvegicus (Rat)	167
F1M6Z1	unreviewed	F1M6Z1_RAT	Apolipoprotein B	Apob	Rattus norvegicus (Rat)	4506
F1M748	unreviewed	F1M748_RAT	Collagen type XXIV alpha 1 chain	Col24a1	Rattus norvegicus (Rat)	1731
F1M796	unreviewed	F1M796_RAT	Beta-defensin	Defb19 AC111428.1	Rattus norvegicus (Rat)	91
F1M7L6	unreviewed	F1M7L6_RAT	Secretogranin-3 (Secretogranin III)	Scg3	Rattus norvegicus (Rat)	471
F1M7L7	unreviewed	F1M7L7_RAT	Latent transforming growth factor beta binding protein 2	Ltbp2	Rattus norvegicus (Rat)	1787
F1M7M1	unreviewed	F1M7M1_RAT	Alpha-lactalbumin (Lactose synthase B protein)	Lalba	Rattus norvegicus (Rat)	159
F1M8H8	unreviewed	F1M8H8_RAT	Hyaluronan binding protein 2	Habp2	Rattus norvegicus (Rat)	558
F1M957	unreviewed	F1M957_RAT	von Willebrand factor	Vwf	Rattus norvegicus (Rat)	2592
F1M963	unreviewed	F1M963_RAT	Hyaluronidase (EC 3.2.1.35)	Hyal1	Rattus norvegicus (Rat)	432
F1M987	unreviewed	F1M987_RAT	Signal peptide, CUB domain and EGF like domain containing 1	Scube1	Rattus norvegicus (Rat)	1018
F1MA56	unreviewed	F1MA56_RAT	chymotrypsin (EC 3.4.21.1)	Ctrb1	Rattus norvegicus (Rat)	263
F1MA79	unreviewed	F1MA79_RAT	Slit guidance ligand 2	Slit2	Rattus norvegicus (Rat)	1525
F2Z3U1	unreviewed	F2Z3U1_RAT	Protein Wnt	Wnt5a	Rattus norvegicus (Rat)	380
F7ELL4	unreviewed	F7ELL4_RAT	HGF activator	Hgfac	Rattus norvegicus (Rat)	691
F7EMF7	unreviewed	F7EMF7_RAT	Beta-defensin	Defb36	Rattus norvegicus (Rat)	78
F7EQ36	unreviewed	F7EQ36_RAT	Leukocyte cell-derived chemotaxin 1 (Chondromodulin)	Cnmd	Rattus norvegicus (Rat)	338
F7ET54	unreviewed	F7ET54_RAT	Alpha-2u-globulin (L type)	LOC120102889 LOC298111 Mup4l1 Mup4l2 Mup4l3 Mup5 RGD1566134	Rattus norvegicus (Rat)	181
F7EVZ0	unreviewed	F7EVZ0_RAT	Collagen type V alpha 3 chain	Col5a3	Rattus norvegicus (Rat)	1736
F7EYX4	unreviewed	F7EYX4_RAT	Inter-alpha-trypsin inhibitor heavy chain H1	Itih1	Rattus norvegicus (Rat)	873
F7F8Y6	unreviewed	F7F8Y6_RAT	Neurexophilin	Nxph3	Rattus norvegicus (Rat)	235
F7F947	unreviewed	F7F947_RAT	Sperm-associated antigen 11-like	Spag11b LOC120093117 Spag11bl Spag11bl1	Rattus norvegicus (Rat)	133
F7FD31	unreviewed	F7FD31_RAT	Beta-defensin	Defb24	Rattus norvegicus (Rat)	99
F7FM52	unreviewed	F7FM52_RAT	Hyaluronan and proteoglycan link protein 3	Hapln3	Rattus norvegicus (Rat)	336
F7FNC4	unreviewed	F7FNC4_RAT	Interleukin 36, gamma	Il36g	Rattus norvegicus (Rat)	183
F8WG85	unreviewed	F8WG85_RAT	Vascular permeability factor	Vegfa	Rattus norvegicus (Rat)	325
F8WG88	unreviewed	F8WG88_RAT	Follistatin-related protein 1 (Follistatin-like protein 1)	Fstl1	Rattus norvegicus (Rat)	535
G3V630	unreviewed	G3V630_RAT	Lymphocyte antigen 6 complex locus protein G5c	Ly6g5c	Rattus norvegicus (Rat)	148
G3V643	unreviewed	G3V643_RAT	Trefoil factor 2	Tff2	Rattus norvegicus (Rat)	129
G3V686	reviewed	RETNG_RAT	Resistin-like gamma (Resistin-like molecule gamma) (RELMgamma)	Retnlg	Rattus norvegicus (Rat)	111
G3V6C6	unreviewed	G3V6C6_RAT	C-X-C motif chemokine	Cxcl1	Rattus norvegicus (Rat)	96
G3V6C8	unreviewed	G3V6C8_RAT	C-X-C motif chemokine	Cxcl6 Cxcl5	Rattus norvegicus (Rat)	130
G3V6D0	unreviewed	G3V6D0_RAT	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	Afp	Rattus norvegicus (Rat)	611
G3V6D7	unreviewed	G3V6D7_RAT	Fibroblast growth factor binding protein 1	Fgfbp1	Rattus norvegicus (Rat)	238
G3V6E7	unreviewed	G3V6E7_RAT	Fibromodulin (Keratan sulfate proteoglycan fibromodulin)	Fmod	Rattus norvegicus (Rat)	376
G3V6J4	unreviewed	G3V6J4_RAT	Neurotensin/neuromedin N	Nts	Rattus norvegicus (Rat)	169
G3V6K1	unreviewed	G3V6K1_RAT	Transcobalamin-2 (Transcobalamin II)	Tcn2	Rattus norvegicus (Rat)	427
G3V6S3	unreviewed	G3V6S3_RAT	Calumenin	Calu	Rattus norvegicus (Rat)	312
G3V6X1	unreviewed	G3V6X1_RAT	Fibulin 2	Fbln2	Rattus norvegicus (Rat)	1222
G3V6X3	unreviewed	G3V6X3_RAT	Netrin 3	Ntn3	Rattus norvegicus (Rat)	580
G3V6X6	unreviewed	G3V6X6_RAT	Interleukin 22	Il22	Rattus norvegicus (Rat)	179
G3V6X9	unreviewed	G3V6X9_RAT	Small vasohibin-binding protein	Svbp Ccdc23	Rattus norvegicus (Rat)	102
G3V714	unreviewed	G3V714_RAT	Neuroendocrine protein 7B2 (Secretogranin-5)	Scg5	Rattus norvegicus (Rat)	210
G3V779	unreviewed	G3V779_RAT	Ladinin-1 (Lad-1)	Lad1	Rattus norvegicus (Rat)	519
G3V780	unreviewed	G3V780_RAT	Interleukin-12 subunit alpha (IL-12A)	Il12a IL12A	Rattus norvegicus (Rat)	215
G3V7D6	unreviewed	G3V7D6_RAT	Pro-neuregulin-1, membrane-bound isoform	Nrg1	Rattus norvegicus (Rat)	517
G3V7F0	unreviewed	G3V7F0_RAT	Pro-neuregulin-1, membrane-bound isoform	Nrg1	Rattus norvegicus (Rat)	662
G3V7F7	unreviewed	G3V7F7_RAT	Pro-FMRFamide-related neuropeptide VF	Npvf	Rattus norvegicus (Rat)	203
G3V7H3	unreviewed	G3V7H3_RAT	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	Cfd	Rattus norvegicus (Rat)	263
G3V7I1	unreviewed	G3V7I1_RAT	C-C motif chemokine	Ccl4	Rattus norvegicus (Rat)	92
G3V7N9	unreviewed	G3V7N9_RAT	Adiponectin a (Complement C1q B chain)	C1qb Adia	Rattus norvegicus (Rat)	253
G3V7P2	unreviewed	G3V7P2_RAT	Fibrinogen-like 2	Fgl2	Rattus norvegicus (Rat)	429
G3V7Q8	unreviewed	G3V7Q8_RAT	trypsin (EC 3.4.21.4)	Prss3b Prss3	Rattus norvegicus (Rat)	247
G3V7R2	unreviewed	G3V7R2_RAT	Peptidoglycan-recognition protein	Pglyrp1	Rattus norvegicus (Rat)	183
G3V7V4	unreviewed	G3V7V4_RAT	Ectonucleotide pyrophosphatase/phosphodiesterase 1	Enpp1	Rattus norvegicus (Rat)	906
G3V7X2	unreviewed	G3V7X2_RAT	Secretogranin-2 (Secretogranin II)	Scg2	Rattus norvegicus (Rat)	579
G3V7X5	unreviewed	G3V7X5_RAT	SPARC-like protein 1	Sparcl1	Rattus norvegicus (Rat)	636
G3V836	unreviewed	G3V836_RAT	Clusterin	Clu	Rattus norvegicus (Rat)	455
G3V863	unreviewed	G3V863_RAT	Prolactin family 8, subfamily A, member 4 (Prolactin-like protein-C variant)	Prl8a3 Prl8a4 Prlpc1	Rattus norvegicus (Rat)	238
G3V873	unreviewed	G3V873_RAT	Prolactin family 2, subfamily B, member 1	Prl2b1	Rattus norvegicus (Rat)	227
G3V896	unreviewed	G3V896_RAT	C-C motif chemokine	Ccl28	Rattus norvegicus (Rat)	127
G3V8A9	unreviewed	G3V8A9_RAT	Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase)	Pnliprp1	Rattus norvegicus (Rat)	473
G3V8G6	unreviewed	G3V8G6_RAT	Hyaluronan and proteoglycan link protein 2	Hapln2	Rattus norvegicus (Rat)	341
G3V8K8	unreviewed	G3V8K8_RAT	Protein Z, vitamin K-dependent plasma glycoprotein	Proz	Rattus norvegicus (Rat)	406
G3V8R2	unreviewed	G3V8R2_RAT	Neurocan	Ncan	Rattus norvegicus (Rat)	1263
G3V8U5	unreviewed	G3V8U5_RAT	Zona pellucida glycoprotein 1	Zp1	Rattus norvegicus (Rat)	617
G3V903	unreviewed	G3V903_RAT	Bone morphogenetic protein 3	Bmp3	Rattus norvegicus (Rat)	439
G3V9C3	unreviewed	G3V9C3_RAT	Antileukoproteinase-like 2 (Antileukoproteinase-like 3)	Slpi-ps2 LOC103690289 Slpi-ps1 Slpil2 Slpil3	Rattus norvegicus (Rat)	130
G3V9R6	unreviewed	G3V9R6_RAT	Casein alpha s2-like A	Csn1s2a	Rattus norvegicus (Rat)	179
G3V9R9	unreviewed	G3V9R9_RAT	Afamin	Afm	Rattus norvegicus (Rat)	608
M0R3X1	unreviewed	M0R3X1_RAT	Proactivator polypeptide-like 1	Psapl1	Rattus norvegicus (Rat)	527
M0R4S2	unreviewed	M0R4S2_RAT	Apolipoprotein D (Apo-D)	Apod	Rattus norvegicus (Rat)	189
M0R4Z8	unreviewed	M0R4Z8_RAT	Glutamine amidotransferase-like class 1 domain-containing protein 1 (Ferry endosomal RAB5 effector complex subunit 5) (Parkinson disease 7 domain-containing protein 1)	Gatd1	Rattus norvegicus (Rat)	245
M0R5F1	unreviewed	M0R5F1_RAT	Asporin	Aspn	Rattus norvegicus (Rat)	385
M0R5R0	unreviewed	M0R5R0_RAT	Vitamin K-dependent protein S	Pros1	Rattus norvegicus (Rat)	675
M0R6C7	unreviewed	M0R6C7_RAT	Mucin 2, oligomeric mucus/gel-forming	Muc2	Rattus norvegicus (Rat)	4743
M0R6V9	unreviewed	M0R6V9_RAT	Lipase H	Liph AABR07034648.1	Rattus norvegicus (Rat)	421
M0R967	unreviewed	M0R967_RAT	Growth hormone d6 (Prolactin family 7, subfamily c, member 1)	Prl7c1 Ghd6 LOC684107	Rattus norvegicus (Rat)	251
M0R9C8	unreviewed	M0R9C8_RAT	ALK and LTK ligand 1	Alkal1 Fam150a LOC100910984	Rattus norvegicus (Rat)	127
M0RAM1	unreviewed	M0RAM1_RAT	Binder of sperm protein homolog 2	Bsph2	Rattus norvegicus (Rat)	131
M0RB53	unreviewed	M0RB53_RAT	von Willebrand factor C domain containing 2	Vwc2	Rattus norvegicus (Rat)	324
M0RBF1	unreviewed	M0RBF1_RAT	Complement C3	C3	Rattus norvegicus (Rat)	1615
M0RBS2	unreviewed	M0RBS2_RAT	Alpha-2u-globulin (L type)	LOC120102889 LOC298111 Mup4l1 Mup4l2 Mup4l3 Mup5 RGD1566134	Rattus norvegicus (Rat)	181
M0RCZ7	unreviewed	M0RCZ7_RAT	Secretory leukocyte peptidase inhibitor	Slpi LOC103690289	Rattus norvegicus (Rat)	131
M0RD17	unreviewed	M0RD17_RAT	Isthmin 2	Ism2 LOC681936	Rattus norvegicus (Rat)	491
M0RD26	unreviewed	M0RD26_RAT	Procollagen C-endopeptidase enhancer 2	PCOLCE2	Rattus norvegicus (Rat)	412
O88281	reviewed	MEGF6_RAT	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	Megf6 Egfl3	Rattus norvegicus (Rat)	1574
P04474	reviewed	PRP3_RAT	Acidic proline-rich protein PRP33 (Proline-rich proteoglycan 1)	Prpg1	Rattus norvegicus (Rat)	206
P04812	reviewed	SVS5_RAT	Seminal vesicle secretory protein 5 (SVS protein F) (Seminal vesicle secretory protein V) (SVS V)	Svs5 Svp5	Rattus norvegicus (Rat)	123
P10165	reviewed	PRPG2_RAT	Proline-rich proteoglycan 2 (Acidic proline-rich protein PRP18)	Prpg2	Rattus norvegicus (Rat)	295
P18889	reviewed	PORF1_RAT	Putative preoptic regulatory factor 1 (PORF-1)	Porf1	Rattus norvegicus (Rat)	37
P18897	reviewed	SMR2_RAT	SMR2 protein	Smr2	Rattus norvegicus (Rat)	137
P33581	reviewed	GHR4_RAT	Growth hormone-related protein 4		Rattus norvegicus (Rat)	32
P81827	reviewed	UP1_RAT	Urinary protein 1 (UP-1) (rUP-1) (Liver regeneration-related protein LRRG05)		Rattus norvegicus (Rat)	101
P81828	reviewed	UP2_RAT	Urinary protein 2 (UP-2) (rUP-2)		Rattus norvegicus (Rat)	101
P83121	reviewed	UP3_RAT	Urinary protein 3 (UP-3) (rUP-3)		Rattus norvegicus (Rat)	101
P97580	reviewed	MSMB_RAT	Beta-microseminoprotein (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids) (PSP-94) (PSP94)	Msmb Psp94	Rattus norvegicus (Rat)	113
P97590	reviewed	LEG7_RAT	Galectin-7 (Gal-7)	Lgals7	Rattus norvegicus (Rat)	136
Q04105	unreviewed	Q04105_RAT	Proline-rich protein 15 (Salivary proline-rich protein)	Prp15 LOC120093139 RP13	Rattus norvegicus (Rat)	164
Q05702	reviewed	SG1C1_RAT	Secretoglobin family 1C member 1 (Secretoglobin RYD5)	Scgb1c1 Ryd5	Rattus norvegicus (Rat)	94
Q1KZH8	unreviewed	Q1KZH8_RAT	Placental lactogen I alpha (Placental lactogen I beta) (Prolactin family 3, subfamily D member 2) (Prolactin family 3, subfamily d, member 2)	Prl3d1 LOC100911206 LOC100912634 Prl3d2	Rattus norvegicus (Rat)	229
Q1KZI1	unreviewed	Q1KZI1_RAT	Growth hormone d2 (Prolactin family 5, subfamily A, member 2) (Prolactin-like protein P)	Prl5a2 Ghd2 Prlpp	Rattus norvegicus (Rat)	232
Q29TV8	reviewed	GKN2_RAT	Gastrokine-2 (Blottin)	Gkn2 Blot	Rattus norvegicus (Rat)	184
Q30KI9	unreviewed	Q30KI9_RAT	Sperm associated antigen 11b (Sperm-associated antigen 11 variant C isoform 1)	Spag11b Spag11 Spag11bl	Rattus norvegicus (Rat)	133
Q30KJ2	reviewed	DFB50_RAT	Beta-defensin 50 (BD-50) (Defensin, beta 50)	Defb50	Rattus norvegicus (Rat)	73
Q32ZF1	unreviewed	Q32ZF1_RAT	Beta-defensin	Defb49	Rattus norvegicus (Rat)	84
Q32ZF3	reviewed	DFB43_RAT	Beta-defensin 43 (BD-43) (Defensin, beta 43)	Defb43	Rattus norvegicus (Rat)	70
Q32ZF5	unreviewed	Q32ZF5_RAT	Beta-defensin 41 (Defensin beta 41)	Defb41	Rattus norvegicus (Rat)	79
Q32ZF7	reviewed	DFB39_RAT	Beta-defensin 39 (BD-39) (Defensin, beta 39)	Defb39	Rattus norvegicus (Rat)	73
Q32ZF8	reviewed	DFB38_RAT	Beta-defensin 38 (BD-38) (Defensin, beta 38)	Defb38	Rattus norvegicus (Rat)	63
Q32ZG1	reviewed	DFB33_RAT	Beta-defensin 33 (BD-33) (Defensin, beta 33)	Defb33	Rattus norvegicus (Rat)	62
Q32ZG2	reviewed	DFB30_RAT	Beta-defensin 30 (BD-30) (Defensin, beta 30)	Defb30	Rattus norvegicus (Rat)	75
Q32ZG3	reviewed	DFB29_RAT	Beta-defensin 29 (BD-29) (Defensin, beta 29)	Defb29	Rattus norvegicus (Rat)	78
Q32ZG5	unreviewed	Q32ZG5_RAT	Beta-defensin	Defb27	Rattus norvegicus (Rat)	67
Q32ZG6	unreviewed	Q32ZG6_RAT	Beta-defensin	Defb26	Rattus norvegicus (Rat)	128
Q32ZG7	reviewed	DFB25_RAT	Beta-defensin 25 (BD-25) (Defensin, beta 25)	Defb25	Rattus norvegicus (Rat)	71
Q32ZH2	reviewed	DFB20_RAT	Beta-defensin 20 (BD-20) (Defensin, beta 20)	Defb20	Rattus norvegicus (Rat)	96
Q32ZH4	reviewed	DFB18_RAT	Beta-defensin 18 (BD-18) (Defensin, beta 18)	Defb18	Rattus norvegicus (Rat)	85
Q32ZH8	reviewed	DFB13_RAT	Beta-defensin 13 (BD-13) (Defensin, beta 13)	Defb13	Rattus norvegicus (Rat)	66
Q32ZH9	reviewed	DFB12_RAT	Beta-defensin 12 (BD-12) (Defensin, beta 12)	Defb12	Rattus norvegicus (Rat)	78
Q32ZI0	reviewed	DFB11_RAT	Beta-defensin 11 (BD-11) (Defensin, beta 11)	Defb11	Rattus norvegicus (Rat)	69
Q32ZI1	reviewed	DFB10_RAT	Beta-defensin 10 (BD-10) (Defensin, beta 10)	Defb10	Rattus norvegicus (Rat)	71
Q32ZI2	reviewed	DEFB9_RAT	Beta-defensin 9 (BD-9) (Defensin, beta 9)	Defb9	Rattus norvegicus (Rat)	71
Q32ZI4	reviewed	DEFB3_RAT	Beta-defensin 3 (BD-3) (Defensin, beta 3)	Defb3	Rattus norvegicus (Rat)	63
Q32ZI5	unreviewed	Q32ZI5_RAT	Beta-defensin 2 (Defensin beta 2)	Defb2	Rattus norvegicus (Rat)	71
Q3B7D6	unreviewed	Q3B7D6_RAT	Spondin-1 (F-spondin)	Spon1	Rattus norvegicus (Rat)	807
Q3MID7	unreviewed	Q3MID7_RAT	Lipopolysaccharide-binding protein (LBP)	Lbp	Rattus norvegicus (Rat)	481
Q3T1I2	reviewed	C1QT6_RAT	Complement C1q tumor necrosis factor-related protein 6	C1qtnf6	Rattus norvegicus (Rat)	263
Q3ZAU4	unreviewed	Q3ZAU4_RAT	Kazal-type serine peptidase inhibitor domain 1	Kazald1	Rattus norvegicus (Rat)	304
Q3ZRW7	reviewed	CLUL1_RAT	Clusterin-like protein 1	Clul1	Rattus norvegicus (Rat)	464
Q4JEI5	unreviewed	Q4JEI5_RAT	Defensin alpha 9	Defa9	Rattus norvegicus (Rat)	103
Q4JEI6	unreviewed	Q4JEI6_RAT	Defensin alpha 8	Defa8	Rattus norvegicus (Rat)	103
Q4JEI8	unreviewed	Q4JEI8_RAT	Defensin alpha 6	Defa6	Rattus norvegicus (Rat)	95
Q4JEI9	unreviewed	Q4JEI9_RAT	Defensin alpha 24 (Enteric defensin alpha 5)	Defa24 Defcr4 Rd5	Rattus norvegicus (Rat)	93
Q4KM45	reviewed	ADSSP_RAT	Adipose-secreted signaling protein	Adissp	Rattus norvegicus (Rat)	174
Q4QRA1	unreviewed	Q4QRA1_RAT	Growth hormone d12 (Prolactin family 8, subfamily A, member 2)	Prl8a2 Ghd12	Rattus norvegicus (Rat)	240
Q4V7A8	reviewed	ABD18_RAT	Protein ABHD18 (Alpha/beta hydrolase domain-containing protein 18) (Abhydrolase domain-containing protein 18)	Abhd18	Rattus norvegicus (Rat)	464
Q4V7D9	unreviewed	Q4V7D9_RAT	Acid sphingomyelinase-like phosphodiesterase	Smpdl3b	Rattus norvegicus (Rat)	456
Q4V7E2	reviewed	PLAC1_RAT	Placenta-specific protein 1	Plac1	Rattus norvegicus (Rat)	173
Q4V8L0	unreviewed	Q4V8L0_RAT	Metalloproteinase inhibitor 3 (Tissue inhibitor of metalloproteinases 3)	Timp3	Rattus norvegicus (Rat)	211
Q505J2	unreviewed	Q505J2_RAT	Carboxylic ester hydrolase (EC 3.1.1.-)	Ache	Rattus norvegicus (Rat)	614
Q5BK01	reviewed	MET24_RAT	Probable methyltransferase-like protein 24 (EC 2.1.1.-)	Mettl24	Rattus norvegicus (Rat)	363
Q5FVS5	unreviewed	Q5FVS5_RAT	Perforin 1	Prf1	Rattus norvegicus (Rat)	554
Q5GAL7	reviewed	RNS13_RAT	Probable inactive ribonuclease-like protein 13	Rnase13	Rattus norvegicus (Rat)	153
Q5GAL8	reviewed	RNS12_RAT	Probable inactive ribonuclease-like protein 12	Rnase12	Rattus norvegicus (Rat)	145
Q5I0E3	reviewed	CHOLN_RAT	Cholesin (Protein C7orf50)	C7orf50	Rattus norvegicus (Rat)	193
Q5M7W9	unreviewed	Q5M7W9_RAT	Lamb2 protein (Laminin subunit beta 2)	Lamb2	Rattus norvegicus (Rat)	1593
Q5M889	reviewed	APOF_RAT	Apolipoprotein F (Apo-F) (Liver regeneration-related protein LRRG151)	Apof Ba1-666	Rattus norvegicus (Rat)	308
Q5PQU1	unreviewed	Q5PQU1_RAT	Kininogen 1 (Kininogen 2)	Kng2 Kng1_v1 Kng2l1	Rattus norvegicus (Rat)	430
Q5QJV4	unreviewed	Q5QJV4_RAT	Inactive ribonuclease-like protein 9	Rnase9	Rattus norvegicus (Rat)	182
Q5R212	reviewed	PRS35_RAT	Inactive serine protease 35	Prss35	Rattus norvegicus (Rat)	406
Q5RJN2	unreviewed	Q5RJN2_RAT	Pcolce protein (Procollagen C-endopeptidase enhancer)	Pcolce	Rattus norvegicus (Rat)	493
Q5RJP7	reviewed	PGFRL_RAT	Platelet-derived growth factor receptor-like protein (PDGFR-like protein)	Pdgfrl	Rattus norvegicus (Rat)	375
Q5UCE3	unreviewed	Q5UCE3_RAT	Left-right determination factor	Lefty2	Rattus norvegicus (Rat)	366
Q5VJF5	unreviewed	Q5VJF5_RAT	Glycoprotein hormone subunit beta 5 (Glycoprotein-beta 5)	Gphb5 Gpb5	Rattus norvegicus (Rat)	129
Q5XI24	unreviewed	Q5XI24_RAT	Matrilin 1	Matn1	Rattus norvegicus (Rat)	498
Q5XI62	reviewed	MENT_RAT	Protein MENT (Methylated in normal thymocytes protein)	Ment	Rattus norvegicus (Rat)	344
Q5XI89	reviewed	NXPE4_RAT	NXPE family member 4 (Protein FAM55D)	Nxpe4 Fam55d	Rattus norvegicus (Rat)	542
Q5XIE1	reviewed	THEM6_RAT	Protein THEM6	Them6	Rattus norvegicus (Rat)	207
Q63556	reviewed	SPA3M_RAT	Serine protease inhibitor A3M (Serpin A3M) (Serine protease inhibitor 2.4) (SPI-2.4)	Serpina3m	Rattus norvegicus (Rat)	412
Q64371	unreviewed	Q64371_RAT	PR-Vbeta1 (Submaxillary gland androgen regulated protein 3A)	Smr3a VCS-beta1	Rattus norvegicus (Rat)	148
Q66H35	reviewed	LAS2_RAT	Lung adenoma susceptibility protein 2 homolog	Las2	Rattus norvegicus (Rat)	365
Q66H86	reviewed	OLFL1_RAT	Olfactomedin-like protein 1	Olfml1	Rattus norvegicus (Rat)	402
Q6AXN2	unreviewed	Q6AXN2_RAT	EGF containing fibulin extracellular matrix protein 1 (EGF-containing fibulin-like extracellular matrix protein 1)	Efemp1	Rattus norvegicus (Rat)	493
Q6AY61	reviewed	PRS23_RAT	Serine protease 23 (EC 3.4.21.-)	Prss23	Rattus norvegicus (Rat)	383
Q6AY64	reviewed	CF120_RAT	UPF0669 protein C6orf120 homolog		Rattus norvegicus (Rat)	185
Q6IE40	reviewed	WFD12_RAT	WAP four-disulfide core domain protein 12	Wfdc12	Rattus norvegicus (Rat)	78
Q6IE41	reviewed	WFDC9_RAT	Protein WFDC9	Wfdc9	Rattus norvegicus (Rat)	74
Q6IE47	reviewed	ISK6_RAT	Serine protease inhibitor Kazal-type 6	Spink6 Spink5l1	Rattus norvegicus (Rat)	105
Q6IN44	unreviewed	Q6IN44_RAT	Pulmonary surfactant-associated protein B (Pulmonary surfactant-associated proteolipid SPL(Phe))	Sftpb	Rattus norvegicus (Rat)	376
Q6MG53	reviewed	LY65B_RAT	Lymphocyte antigen 6 complex locus protein G5b	Ly6g5b	Rattus norvegicus (Rat)	194
Q6MG64	reviewed	VWA7_RAT	von Willebrand factor A domain-containing protein 7 (Protein G7c)	Vwa7 G7c	Rattus norvegicus (Rat)	892
Q6P2A4	unreviewed	Q6P2A4_RAT	Leucine-rich repeat LGI family, member 4	Lgi4	Rattus norvegicus (Rat)	537
Q6P7A4	unreviewed	Q6P7A4_RAT	Prosaposin	Psap	Rattus norvegicus (Rat)	553
Q6R2R3	unreviewed	Q6R2R3_RAT	Cardiotrophin 2 (Neuropoietin)	Ctf2 Ctf2p	Rattus norvegicus (Rat)	204
Q6TUF8	unreviewed	Q6TUF8_RAT	Coagulation factor XI (LRRGT00086)	F11	Rattus norvegicus (Rat)	556
Q78E14	unreviewed	Q78E14_RAT	Alpha-2u globulin PGCL4 (Obp3 protein)	Obp3	Rattus norvegicus (Rat)	179
Q7TMA9	unreviewed	Q7TMA9_RAT	C-reactive protein	Crp	Rattus norvegicus (Rat)	1015
Q7TMC0	unreviewed	Q7TMC0_RAT	Mannose-binding protein C (Mannan-binding protein)	AABR07006691.1	Rattus norvegicus (Rat)	371
Q7TP59	unreviewed	Q7TP59_RAT	Ab2-095 (Divergent protein kinase domain 2A)	Dipk2a RGD1309079	Rattus norvegicus (Rat)	631
Q7TP75	unreviewed	Q7TP75_RAT	Alpha-2-HS-glycoprotein (Fetuin-A)	Ahsg AABR07034632.1	Rattus norvegicus (Rat)	553
